date,target,cash,total,021400_pct,021400_dd,021400_shares,021093_pct,021093_dd,021093_shares,017513_pct,017513_dd,017513_shares
2025-09-29,021400,300196.67,998819.47,0.5583,0.032,595180.44,0.95,0.0151,0.0,0.7583,0.0621,0.0
2025-10-14,017513,305542.0,1016102.44,0.875,0.0121,0.0,0.7417,0.0956,0.0,0.7,0.0945,409026.27
2025-10-21,017513,305625.72,991399.17,0.925,0.0061,0.0,0.7917,0.0837,0.0,0.6167,0.1095,409026.27
2025-10-28,017513,302775.83,1001217.73,0.95,0.0052,0.0,0.7917,0.0777,0.0,0.5167,0.1137,410751.53
2025-11-04,021093,307286.33,1036378.88,0.9917,0.0,0.0,0.5417,0.1083,543126.15,0.6917,0.0692,0.0
2025-11-11,021093,307370.53,1038309.7,0.9833,0.0019,0.0,0.525,0.1079,543126.15,0.625,0.0876,0.0
2025-11-18,021093,306735.57,1010531.55,0.8417,0.025,0.0,0.3083,0.1401,543681.72,0.5583,0.0967,0.0
2025-11-25,017513,301136.99,1003656.47,0.5,0.0416,0.0,0.325,0.1364,543681.72,0.0583,0.1455,3466.07
2025-12-02,017513,301219.5,1008840.28,0.5917,0.037,0.0,0.0167,0.1881,543681.72,0.0917,0.1447,3466.07
2025-12-09,021093,290470.43,959406.29,0.0,0.0976,0.0,0.0,0.203,552709.56,0.1083,0.1427,3466.07
2025-12-16,021093,285985.39,941665.59,0.0,0.1081,0.0,0.0,0.2245,556619.31,0.35,0.1191,3466.07
2025-12-23,021093,285094.41,946431.48,0.05,0.1014,0.0,0.0167,0.2189,557443.72,0.3417,0.119,3466.07
2025-12-30,021093,285902.83,942499.82,0.1083,0.0952,0.0,0.025,0.2237,561866.32,0.4,0.113,0.0
2026-01-08,021093,285981.17,962074.92,0.15,0.0836,0.0,0.1167,0.2075,561866.32,0.6167,0.0796,0.0
2026-01-15,021093,286059.53,1011035.65,0.15,0.09,0.0,0.2417,0.158,561866.32,0.7,0.0584,0.0
2026-01-22,021093,286137.91,978132.47,0.2417,0.0781,0.0,0.2333,0.1833,561866.32,0.6583,0.067,0.0
2026-01-29,021093,286216.32,992819.4,0.3333,0.0565,0.0,0.3083,0.1632,561866.32,0.625,0.0643,0.0
2026-02-05,021093,286043.07,939576.71,0.3,0.0674,0.0,0.025,0.2276,562082.77,0.45,0.081,0.0
2026-02-12,021093,283273.51,934427.72,0.3833,0.0588,0.0,0.0167,0.2338,564551.94,0.6,0.0662,0.0
2026-02-27,021093,268706.51,888889.54,0.5333,0.0473,0.0,0.0083,0.2875,578205.32,0.6333,0.0642,0.0
2026-03-06,021093,265942.97,854617.77,0.6333,0.0424,0.0,0.025,0.327,581005.53,0.1417,0.1276,0.0
2026-03-13,021093,257357.08,854109.63,0.7833,0.028,0.0,0.025,0.3276,589559.92,0.0917,0.1388,0.0
2026-03-20,021093,256823.67,834901.54,0.4083,0.0582,0.0,0.0,0.3493,590176.49,0.0,0.1764,0.0
2026-03-27,021093,249690.88,828243.9,0.3917,0.0629,0.0,0.0167,0.3569,597617.0,0.025,0.199,0.0
2026-04-03,021093,242687.08,807933.57,0.3,0.0776,0.0,0.0083,0.3796,605188.97,0.0167,0.2092,0.0
2026-04-13,021093,242753.57,827184.56,0.3333,0.0718,0.0,0.0417,0.3245,605188.97,0.1167,0.1776,0.0
2026-04-20,021093,242820.09,843954.29,0.3667,0.0713,0.0,0.175,0.2869,605188.97,0.3583,0.1107,0.0
2026-04-27,021093,242886.62,822173.5,0.5333,0.062,0.0,0.0333,0.3192,605188.97,0.1667,0.1454,0.0
2026-05-07,021093,242953.17,816672.32,0.5917,0.0579,0.0,0.1917,0.2797,605188.97,0.3667,0.1206,0.0
2026-05-14,021093,243019.74,825453.61,0.3833,0.07,0.0,0.15,0.2874,605188.97,0.2583,0.1327,0.0
2026-05-21,021093,238601.51,780191.54,0.1583,0.0705,0.0,0.0,0.3174,610242.29,0.15,0.1677,0.0
2026-05-28,021093,230567.24,756823.61,0.0917,0.0746,0.0,0.0,0.3452,619781.39,0.1,0.1905,0.0
2026-06-04,021093,230630.41,780686.4,0.475,0.047,0.0,0.025,0.3253,619781.39,0.0,0.2222,0.0
