date,close
2021-05-26,1.633
2021-05-27,1.643
2021-05-28,1.619
2021-05-31,1.62
2021-06-01,1.63
2021-06-02,1.601
2021-06-03,1.6
2021-06-04,1.594
2021-06-07,1.606
2021-06-08,1.629
2021-06-09,1.625
2021-06-10,1.626
2021-06-11,1.59
2021-06-15,1.568
2021-06-16,1.563
2021-06-17,1.558
2021-06-18,1.572
2021-06-21,1.568
2021-06-22,1.571
2021-06-23,1.573
2021-06-24,1.554
2021-06-25,1.554
2021-06-28,1.557
2021-06-29,1.555
2021-06-30,1.561
2021-07-01,1.547
2021-07-02,1.529
2021-07-05,1.526
2021-07-06,1.548
2021-07-07,1.552
2021-07-08,1.54
2021-07-09,1.539
2021-07-12,1.561
2021-07-13,1.569
2021-07-14,1.544
2021-07-15,1.532
2021-07-16,1.53
2021-07-19,1.524
2021-07-20,1.521
2021-07-21,1.52
2021-07-22,1.526
2021-07-23,1.506
2021-07-26,1.476
2021-07-27,1.466
2021-07-28,1.422
2021-07-29,1.443
2021-07-30,1.442
2021-08-02,1.457
2021-08-03,1.448
2021-08-04,1.446
2021-08-05,1.443
2021-08-06,1.427
2021-08-09,1.426
2021-08-10,1.453
2021-08-11,1.449
2021-08-12,1.437
2021-08-13,1.427
2021-08-16,1.418
2021-08-17,1.401
2021-08-18,1.411
2021-08-19,1.422
2021-08-20,1.432
2021-08-23,1.461
2021-08-24,1.452
2021-08-25,1.458
2021-08-26,1.467
2021-08-27,1.443
2021-08-30,1.45
2021-08-31,1.457
2021-09-01,1.465
2021-09-02,1.453
2021-09-03,1.458
2021-09-06,1.463
2021-09-07,1.473
2021-09-08,1.496
2021-09-09,1.493
2021-09-10,1.495
2021-09-13,1.46
2021-09-14,1.439
2021-09-15,1.456
2021-09-16,1.446
2021-09-17,1.434
2021-09-22,1.416
2021-09-23,1.447
2021-09-24,1.435
2021-09-27,1.408
2021-09-28,1.407
2021-09-29,1.381
2021-09-30,1.4
2021-10-08,1.41
2021-10-11,1.402
2021-10-12,1.383
2021-10-13,1.392
2021-10-14,1.432
2021-10-15,1.431
2021-10-18,1.42
2021-10-19,1.405
2021-10-20,1.383
2021-10-21,1.372
2021-10-22,1.364
2021-10-25,1.367
2021-10-26,1.374
2021-10-27,1.364
2021-10-28,1.351
2021-10-29,1.367
2021-11-01,1.364
2021-11-02,1.351
2021-11-03,1.353
2021-11-04,1.363
2021-11-05,1.358
2021-11-08,1.395
2021-11-09,1.414
2021-11-10,1.406
2021-11-11,1.407
2021-11-12,1.423
2021-11-15,1.432
2021-11-16,1.416
2021-11-17,1.436
2021-11-18,1.424
2021-11-19,1.432
2021-11-22,1.438
2021-11-23,1.434
2021-11-24,1.444
2021-11-25,1.431
2021-11-26,1.409
2021-11-29,1.394
2021-11-30,1.394
2021-12-01,1.406
2021-12-02,1.388
2021-12-03,1.396
2021-12-06,1.379
2021-12-07,1.38
2021-12-08,1.392
2021-12-09,1.415
2021-12-10,1.425
2021-12-13,1.42
2021-12-14,1.426
2021-12-15,1.43
2021-12-16,1.449
2021-12-17,1.438
2021-12-20,1.42
2021-12-21,1.451
2021-12-22,1.473
2021-12-23,1.457
2021-12-24,1.472
2021-12-27,1.469
2021-12-28,1.467
2021-12-29,1.475
2021-12-30,1.515
2021-12-31,1.519
2022-01-04,1.576
2022-01-05,1.567
2022-01-06,1.55
2022-01-07,1.515
2022-01-10,1.526
2022-01-11,1.508
2022-01-12,1.542
2022-01-13,1.537
2022-01-14,1.523
2022-01-17,1.545
2022-01-18,1.527
2022-01-19,1.548
2022-01-20,1.529
2022-01-21,1.533
2022-01-24,1.54
2022-01-25,1.483
2022-01-26,1.469
2022-01-27,1.414
2022-01-28,1.473
2022-02-07,1.442
2022-02-08,1.489
2022-02-09,1.506
2022-02-10,1.553
2022-02-11,1.545
2022-02-14,1.581
2022-02-15,1.541
2022-02-16,1.547
2022-02-17,1.518
2022-02-18,1.527
2022-02-21,1.534
2022-02-22,1.493
2022-02-23,1.494
2022-02-24,1.446
2022-02-25,1.453
2022-02-28,1.446
2022-03-01,1.471
2022-03-02,1.463
2022-03-03,1.493
2022-03-04,1.487
2022-03-07,1.435
2022-03-08,1.404
2022-03-09,1.393
2022-03-10,1.395
2022-03-11,1.408
2022-03-14,1.347
2022-03-15,1.279
2022-03-16,1.362
2022-03-17,1.391
2022-03-18,1.424
2022-03-21,1.431
2022-03-22,1.417
2022-03-23,1.414
2022-03-24,1.388
2022-03-25,1.383
2022-03-28,1.391
2022-03-29,1.387
2022-03-30,1.423
2022-03-31,1.404
2022-04-01,1.455
2022-04-06,1.472
2022-04-07,1.432
2022-04-08,1.438
2022-04-11,1.403
2022-04-12,1.488
2022-04-13,1.43
2022-04-14,1.447
2022-04-15,1.408
2022-04-18,1.414
2022-04-19,1.422
2022-04-20,1.448
2022-04-21,1.376
2022-04-22,1.33
2022-04-25,1.253
2022-04-26,1.226
2022-04-27,1.255
2022-04-28,1.223
2022-04-29,1.281
2022-05-05,1.274
2022-05-06,1.225
2022-05-09,1.226
2022-05-10,1.247
2022-05-11,1.26
2022-05-12,1.272
2022-05-13,1.285
2022-05-16,1.295
2022-05-17,1.289
2022-05-18,1.287
2022-05-19,1.284
2022-05-20,1.312
2022-05-23,1.315
2022-05-24,1.271
2022-05-25,1.316
2022-05-26,1.332
2022-05-27,1.333
2022-05-30,1.356
2022-05-31,1.364
2022-06-01,1.366
2022-06-02,1.355
2022-06-06,1.359
2022-06-07,1.351
2022-06-08,1.36
2022-06-09,1.334
2022-06-10,1.351
2022-06-13,1.331
2022-06-14,1.333
2022-06-15,1.344
2022-06-16,1.367
2022-06-17,1.351
2022-06-20,1.385
2022-06-21,1.396
2022-06-22,1.369
2022-06-23,1.387
2022-06-24,1.431
2022-06-27,1.453
2022-06-28,1.509
2022-06-29,1.496
2022-06-30,1.55
2022-07-01,1.488
2022-07-04,1.484
2022-07-05,1.478
2022-07-06,1.441
2022-07-07,1.434
2022-07-08,1.434
2022-07-11,1.414
2022-07-12,1.39
2022-07-13,1.403
2022-07-14,1.404
2022-07-15,1.394
2022-07-18,1.407
2022-07-19,1.419
2022-07-20,1.448
2022-07-21,1.443
2022-07-22,1.441
2022-07-25,1.428
2022-07-26,1.463
2022-07-27,1.45
2022-07-28,1.443
2022-07-29,1.415
2022-08-01,1.41
2022-08-02,1.359
2022-08-03,1.343
2022-08-04,1.357
2022-08-05,1.365
2022-08-08,1.363
2022-08-09,1.356
2022-08-10,1.349
2022-08-11,1.377
2022-08-12,1.387
2022-08-15,1.38
2022-08-16,1.379
2022-08-17,1.405
2022-08-18,1.388
2022-08-19,1.386
2022-08-22,1.414
2022-08-23,1.414
2022-08-24,1.395
