策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.05-0.70_卖Q0.75-0.95_5买3卖_基80000_增20000,广发约定净值转换,429,4.32,7.47,-1.23,2026-06-16,2026-06-30,0.703,3.513,0.628,1.79,1074729.07,57,19,38,42,0,100.0,3.07,0,0,0.0,57,19,38,3.63,3.84,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买3卖_基80000_增10000,广发约定净值转换,429,4.32,7.46,-1.15,2026-06-16,2026-06-30,0.727,3.744,0.677,1.72,1074639.87,50,17,33,38,0,100.0,3.62,0,0,0.0,50,17,33,3.63,3.83,2.35
买Q0.15-0.80_卖Q0.85-0.90_5买2卖_基80000_增20000,广发约定净值转换,429,4.32,7.46,-1.44,2026-06-16,2026-06-30,0.68,2.988,0.589,1.84,1074656.95,50,17,33,39,0,100.0,3.27,0,0,0.0,50,17,33,3.63,3.83,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买3卖_基80000_增10000,广发约定净值转换,429,4.32,7.46,-1.15,2026-06-16,2026-06-30,0.727,3.744,0.677,1.72,1074639.87,50,17,33,38,0,100.0,3.62,0,0,0.0,50,17,33,3.63,3.83,2.35
买Q0.15-0.70_卖Q0.85-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,4.31,7.44,-1.01,2026-06-16,2026-06-30,0.756,4.284,0.671,1.64,1074502.88,48,16,32,35,0,100.0,3.59,0,0,0.0,48,16,32,3.63,3.81,2.35
买Q0.05-0.70_卖Q0.85-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,4.31,7.44,-1.01,2026-06-16,2026-06-30,0.756,4.284,0.671,1.64,1074502.88,48,16,32,35,0,100.0,3.59,0,0,0.0,48,16,32,3.63,3.81,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买2卖_基80000_增10000,广发约定净值转换,429,4.29,7.41,-1.47,2026-06-12,2026-06-30,0.659,2.927,0.61,1.87,1074206.58,49,17,32,37,0,100.0,3.32,0,0,0.0,49,17,32,3.63,3.78,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买2卖_基80000_增10000,广发约定净值转换,429,4.29,7.41,-1.47,2026-06-12,2026-06-30,0.659,2.927,0.61,1.87,1074206.58,49,17,32,37,0,100.0,3.32,0,0,0.0,49,17,32,3.63,3.78,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买3卖_基80000_增10000,广发约定净值转换,429,4.28,7.4,-1.15,2026-06-16,2026-06-30,0.707,3.711,0.664,1.72,1074030.48,50,17,33,38,0,100.0,3.59,0,0,0.0,50,17,33,3.63,3.77,2.35
买Q0.05-0.80_卖Q0.85-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,4.27,7.38,-1.01,2026-06-16,2026-06-30,0.735,4.247,0.661,1.64,1073893.49,48,16,32,35,0,100.0,3.55,0,0,0.0,48,16,32,3.63,3.75,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买3卖_基80000_增10000,广发约定净值转换,429,4.26,7.37,-1.04,2026-06-16,2026-06-30,0.744,4.084,0.699,1.61,1073728.27,51,17,34,38,0,100.0,3.58,0,0,0.0,51,17,34,3.63,3.74,2.35
买Q0.15-0.70_卖Q0.75-0.90_5买2卖_基80000_增20000,广发约定净值转换,429,4.26,7.36,-1.23,2026-06-16,2026-06-30,0.673,3.463,0.601,1.78,1073678.02,57,19,38,42,0,100.0,3.02,0,0,0.0,57,19,38,3.63,3.73,2.35
