date,cash,position_value,total_value,positions,return,equity,drawdown
2023-07-13,8947.42556289793,878473.2,887420.6255628979,"{'159915': {'shares': 402600.0, 'price': 2.182, 'value': 878473.2, 'profit_pct': -0.0999000999000956}}",0.011783634359688877,0.8874206255628979,-36.934913254312264
2023-07-14,8845.619312638184,871073.5999999999,879919.219312638,"{'513100': {'shares': 773600.0, 'price': 1.126, 'value': 871073.5999999999, 'profit_pct': -0.09990009990009639}}",-0.0084530447390736,0.8799192193126381,-37.46800525404712
2023-07-17,8845.619312638184,875715.2,884560.8193126381,"{'513100': {'shares': 773600.0, 'price': 1.132, 'value': 875715.2, 'profit_pct': 0.43242725303116475}}",0.005275029682413335,0.8845608193126382,-37.1381471256617
2023-07-18,8845.619312638184,883451.2,892296.8193126381,"{'513100': {'shares': 773600.0, 'price': 1.142, 'value': 883451.2, 'profit_pct': 1.3196395079166}}",0.008745582927821127,0.8922968193126382,-36.588383578352705
2023-07-19,8845.619312638184,899696.8,908542.4193126382,"{'513100': {'shares': 773600.0, 'price': 1.163, 'value': 899696.8, 'profit_pct': 3.1827852431760237}}",0.01820649771285132,0.9085424193126382,-35.43388012900377
2023-07-20,8845.619312638184,887319.2000000001,896164.8193126383,"{'513100': {'shares': 773600.0, 'price': 1.147, 'value': 887319.2000000001, 'profit_pct': 1.7632456353593273}}",-0.013623579633589733,0.8961648193126383,-36.31350180469818
2023-07-21,8845.619312638184,872620.7999999999,881466.4193126381,"{'513100': {'shares': 773600.0, 'price': 1.128, 'value': 872620.7999999999, 'profit_pct': 0.07754235107699065}}",-0.016401447237433198,0.8814664193126381,-37.35805254458532
2023-07-24,8845.619312638184,875715.2,884560.8193126381,"{'513100': {'shares': 773600.0, 'price': 1.132, 'value': 875715.2, 'profit_pct': 0.43242725303116475}}",0.0035105137668351993,0.8845608193126382,-37.1381471256617
2023-07-25,8808.403211248107,870392.1,879200.5032112481,"{'513050': {'shares': 821900.0, 'price': 1.059, 'value': 870392.1, 'profit_pct': -0.09990009990009246}}",-0.006059861554296941,0.8792005032112481,-37.519081251126785
2023-07-26,8808.403211248107,870392.1,879200.5032112481,"{'513050': {'shares': 821900.0, 'price': 1.059, 'value': 870392.1, 'profit_pct': -0.09990009990009246}}",0.0,0.8792005032112481,-37.519081251126785
2023-07-27,8808.403211248107,878611.1,887419.5032112481,"{'513050': {'shares': 821900.0, 'price': 1.069, 'value': 878611.1, 'profit_pct': 0.843443619647594}}",0.009348265805104061,0.8874195032112481,-36.93499301491521
2023-07-28,8808.403211248107,898336.7,907145.1032112481,"{'513050': {'shares': 821900.0, 'price': 1.093, 'value': 898336.7, 'profit_pct': 3.1074685465620417}}",0.02222804426612246,0.9071451032112481,-35.533181248007416
2023-07-31,8808.403211248107,918884.2000000001,927692.6032112482,"{'513050': {'shares': 821900.0, 'price': 1.118, 'value': 918884.2000000001, 'profit_pct': 5.465827845431268}}",0.02265073131879669,0.9276926032112481,-34.07296065747847
2023-08-01,8808.403211248107,910665.2000000001,919473.6032112482,"{'513050': {'shares': 821900.0, 'price': 1.108, 'value': 910665.2000000001, 'profit_pct': 4.522484125883582}}",-0.008859615751542704,0.9194736032112482,-34.657048893690046
